Customer,Date,Product weight,Product price,Gender,Branch/Locker,Location,InvoiceId
XAQ694659,2022-09-01,7.84,39200.0,F,G-Location 5,Yerevan,INV-93
GMA134675,2022-09-01,6.0,33000.0,M,G-Location 1,Yerevan,INV-94
OPL180790,2022-09-01,5.9,32450.000000000004,M,G-Location 2,Yerevan,INV-95
TKI459457,2022-09-01,6.36,31800.0,F,G-Location 5,Yerevan,INV-96
AJT720127,2022-09-01,6.74,40440.0,M,G-Location 4,Yerevan,INV-97
HKT865055,2022-09-01,4.65,23250.0,F,G-Location 5,Yerevan,INV-98
TUK667894,2022-09-01,3.58,19690.0,F,G-Location 5,Yerevan,INV-99
KWB499087,2022-09-01,2.43,13365.0,M,G-Location 5,Yerevan,INV-100
HOK381960,2022-09-02,1.91,10505.0,M,G-Location 3,Yerevan,INV-1
FDN477686,2022-09-02,4.23,23265.000000000004,F,G-Location 5,Yerevan,INV-2
SFR682875,2022-09-02,3.29,19740.0,M,G-Location 2,Yerevan,INV-3
TDE159809,2022-09-02,3.42,8550.0,M,G-Location 3,Yerevan,INV-4
PIH339057,2022-09-02,5.47,32820.0,M,G-Location 1,Yerevan,INV-5
OIR987251,2022-09-02,4.57,25135.0,M,G-Location 1,Yerevan,INV-6
HKI409468,2022-09-02,6.25,34375.0,M,G-Location 5,Yerevan,INV-7
NRT112294,2022-09-02,0.36,900.0,M,G-Location 3,Yerevan,INV-8
VLW976735,2022-09-02,7.62,38100.0,F,G-Location 1,Yerevan,INV-9
LCZ741719,2022-09-02,0.21,1680.0,F,G-Location 4,Yerevan,INV-10
OVP343989,2022-09-02,0.42,2520.0,M,G-Location 4,Yerevan,INV-11
BXT166201,2022-09-02,7.69,46140.0,F,G-Location 2,Yerevan,INV-12
YRH231883,2022-09-02,4.69,28140.000000000004,F,G-Location 5,Yerevan,INV-13
YNW866090,2022-09-02,6.28,50240.0,M,G-Location 5,Yerevan,INV-14
DWD461553,2022-09-02,7.47,44820.0,M,G-Location 5,Yerevan,INV-15
AKI859017,2022-09-02,2.03,10149.999999999998,F,G-Location 3,Yerevan,INV-16
YKC215761,2022-09-02,7.64,49660.0,F,G-Location 5,Yerevan,INV-17
UQH566307,2022-09-02,6.25,37500.0,F,G-Location 4,Yerevan,INV-18
NUJ965098,2022-09-02,4.43,26580.0,M,G-Location 1,Yerevan,INV-19
WFN224098,2022-09-02,6.55,39300.0,M,G-Location 3,Yerevan,INV-20
NGN567431,2022-09-02,3.21,6420.0,M,G-Location 4,Yerevan,INV-21
OPL180790,2022-09-02,4.52,29379.999999999996,F,G-Location 3,Yerevan,INV-22
RDP594310,2022-09-02,7.41,48165.0,M,G-Location 2,Yerevan,INV-23
MXQ470100,2022-09-02,1.1,5500.0,M,G-Location 3,Yerevan,INV-24
NXY204303,2022-09-02,1.3,7800.0,F,G-Location 4,Yerevan,INV-25
OFC238514,2022-09-02,4.06,22329.999999999996,F,G-Location 3,Yerevan,INV-26
XUU266356,2022-09-02,0.66,5280.0,M,G-Location 5,Yerevan,INV-27
NVI334397,2022-09-02,2.88,17280.0,M,G-Location 4,Yerevan,INV-28
TRR602368,2022-09-02,6.96,55680.0,F,G-Location 1,Yerevan,INV-29
DWD461553,2022-09-02,2.03,16239.999999999998,M,G-Location 5,Yerevan,INV-30
XHL504880,2022-09-02,0.85,6800.0,M,G-Location 4,Yerevan,INV-31
FCE278779,2022-09-02,6.78,40680.0,M,G-Location 3,Yerevan,INV-32
UEN796425,2022-09-02,6.64,39840.0,F,G-Location 3,Yerevan,INV-33
JGQ238585,2022-09-02,5.74,28700.0,F,G-Location 2,Yerevan,INV-34
KYM533521,2022-09-02,7.91,51415.0,M,G-Location 1,Yerevan,INV-35
RFU427866,2022-09-02,6.85,37675.0,F,G-Location 1,Yerevan,INV-36
GPD275669,2022-09-02,5.07,25350.0,M,G-Location 5,Yerevan,INV-37
VVB957840,2022-09-02,7.62,15240.0,F,G-Location 2,Yerevan,INV-38
RFU427866,2022-09-02,6.06,36360.0,M,G-Location 3,Yerevan,INV-39
VBP326613,2022-09-02,5.92,11840.0,M,G-Location 2,Yerevan,INV-40
EFZ474560,2022-09-02,6.48,12960.0,F,G-Location 2,Yerevan,INV-41
XAV609194,2022-09-02,7.48,18700.0,F,G-Location 2,Yerevan,INV-42
ELT201273,2022-09-02,3.86,21230.0,F,G-Location 4,Yerevan,INV-43
GHD600430,2022-09-02,5.49,27450.0,F,G-Location 1,Yerevan,INV-44
VBP326613,2022-09-02,0.13,715.0,F,G-Location 3,Yerevan,INV-45
XYA836290,2022-09-02,1.62,8100.000000000001,M,G-Location 2,Yerevan,INV-46
AHM324187,2022-09-02,0.57,2849.9999999999995,M,G-Location 5,Yerevan,INV-47
OGV772540,2022-09-02,4.58,9160.0,F,G-Location 3,Yerevan,INV-48
XBT369522,2022-09-02,6.8,37400.0,F,G-Location 2,Yerevan,INV-49
JJK901852,2022-09-02,3.3,18150.0,M,G-Location 2,Yerevan,INV-50
WKV179529,2022-09-02,1.72,4300.0,F,G-Location 5,Yerevan,INV-51
JPM977133,2022-09-02,2.56,5120.0,F,G-Location 1,Yerevan,INV-52
AYD440566,2022-09-02,2.33,4660.0,M,G-Location 2,Yerevan,INV-53
MBA274150,2022-09-02,0.83,4980.0,M,G-Location 5,Yerevan,INV-54
LJB184817,2022-09-02,5.93,35580.0,F,G-Location 4,Yerevan,INV-55
IGA896168,2022-09-02,5.33,31980.0,F,G-Location 4,Yerevan,INV-56
JPH506792,2022-09-02,4.39,10975.0,M,G-Location 3,Yerevan,INV-57
ZMK764440,2022-09-02,2.31,11550.0,M,G-Location 2,Yerevan,INV-58
OPL180790,2022-09-02,2.42,6050.0,M,G-Location 2,Yerevan,INV-59
PKH672390,2022-09-02,7.11,39105.0,M,G-Location 3,Yerevan,INV-60
QPQ801078,2022-09-02,7.68,15360.0,M,G-Location 1,Yerevan,INV-61
ADY744605,2022-09-02,4.5,27000.0,M,G-Location 3,Yerevan,INV-62
PKF240886,2022-09-02,2.06,11330.0,M,G-Location 4,Yerevan,INV-63
ONT504927,2022-09-02,2.32,15079.999999999998,M,G-Location 5,Yerevan,INV-64
IDR413135,2022-09-02,5.77,14424.999999999998,F,G-Location 5,Yerevan,INV-65
OSE163149,2022-09-02,1.5,8250.0,F,G-Location 5,Yerevan,INV-66
SJF937445,2022-09-02,4.86,29160.000000000004,M,G-Location 4,Yerevan,INV-67
JAD277523,2022-09-02,2.45,19600.0,M,G-Location 1,Yerevan,INV-68
NXY204303,2022-09-02,7.49,37450.0,F,G-Location 3,Yerevan,INV-69
GXD536266,2022-09-02,4.51,22550.0,M,G-Location 3,Yerevan,INV-70
FMR509017,2022-09-02,6.59,39540.0,F,G-Location 3,Yerevan,INV-71
HHG792027,2022-09-02,7.0,17500.0,F,G-Location 3,Yerevan,INV-72
POA416951,2022-09-02,5.63,36595.0,M,G-Location 4,Yerevan,INV-73
UZJ761714,2022-09-02,0.86,1720.0,M,G-Location 2,Yerevan,INV-74
DLU311957,2022-09-02,5.05,27775.0,F,G-Location 3,Yerevan,INV-75
LRX488229,2022-09-02,0.99,2475.0,M,G-Location 5,Yerevan,INV-76
DEH148616,2022-09-02,6.58,39480.0,F,G-Location 2,Yerevan,INV-77
ZLD324889,2022-09-02,5.72,11440.0,M,G-Location 4,Yerevan,INV-78
RVB298974,2022-09-02,0.3,1800.0,F,G-Location 5,Yerevan,INV-79
ZJF744789,2022-09-02,1.88,12220.0,F,G-Location 1,Yerevan,INV-80
PAP993533,2022-09-02,1.49,8940.0,M,G-Location 4,Yerevan,INV-81
TXA435445,2022-09-02,2.07,11385.0,M,G-Location 3,Yerevan,INV-82
RQL536819,2022-09-02,2.12,10600.0,M,G-Location 1,Yerevan,INV-83
EME332558,2022-09-02,6.53,16325.0,M,G-Location 3,Yerevan,INV-84
VLP635285,2022-09-02,4.82,31330.000000000004,M,G-Location 3,Yerevan,INV-85
JDJ809663,2022-09-02,3.64,9100.0,M,G-Location 5,Yerevan,INV-86
GLU745795,2022-09-02,2.93,23440.0,M,G-Location 4,Yerevan,INV-87
YZN170575,2022-09-02,4.89,26895.0,M,G-Location 5,Yerevan,INV-88
NRT112294,2022-09-02,4.09,20450.0,F,G-Location 2,Yerevan,INV-89
JCR850939,2022-09-02,0.58,1450.0,F,G-Location 2,Yerevan,INV-90
NLP760137,2022-09-02,5.68,28400.0,F,G-Location 2,Yerevan,INV-91
JGN504951,2022-09-02,0.98,1960.0,M,G-Location 3,Yerevan,INV-92
ILS586026,2022-09-02,1.08,2700.0,M,G-Location 5,Yerevan,INV-93
MEE173667,2022-09-02,7.81,46860.0,F,G-Location 3,Yerevan,INV-94
XFE779855,2022-09-02,4.03,32240.000000000004,M,G-Location 4,Yerevan,INV-95
YHH500691,2022-09-02,2.11,11605.0,F,G-Location 2,Yerevan,INV-96
MHF513768,2022-09-02,7.57,60560.0,F,G-Location 4,Yerevan,INV-97
VGN119155,2022-09-02,7.9,43450.0,F,G-Location 2,Yerevan,INV-98
ZUC559250,2022-09-02,7.1,39050.0,F,G-Location 1,Yerevan,INV-99
GUG501450,2022-09-02,4.41,26460.0,F,G-Location 2,Yerevan,INV-100
VMC905113,2022-09-03,1.0,2000.0,F,G-Location 4,Yerevan,INV-1
UOH761212,2022-09-03,4.85,38800.0,F,G-Location 1,Yerevan,INV-2
BSR434672,2022-09-03,6.0,12000.0,F,G-Location 3,Yerevan,INV-3
DRN538974,2022-09-03,3.97,25805.0,M,G-Location 2,Yerevan,INV-4
TGS205263,2022-09-03,7.65,38250.0,F,G-Location 1,Yerevan,INV-5
PSR310193,2022-09-03,0.19,380.0,F,G-Location 4,Yerevan,INV-6
PGV723476,2022-09-03,7.02,45630.0,F,G-Location 3,Yerevan,INV-7
FJP749580,2022-09-03,5.91,38415.0,M,G-Location 4,Yerevan,INV-8
SUG410350,2022-09-03,0.19,1045.0,F,G-Location 4,Yerevan,INV-9
DIA433281,2022-09-03,2.94,14700.0,M,G-Location 4,Yerevan,INV-10
TFS265734,2022-09-03,7.79,46740.0,F,G-Location 4,Yerevan,INV-11
MKO782073,2022-09-03,1.26,8190.0,F,G-Location 5,Yerevan,INV-12
OSK507920,2022-09-03,1.48,3700.0,M,G-Location 4,Yerevan,INV-13
WNQ763934,2022-09-03,3.12,6240.0,F,G-Location 2,Yerevan,INV-14
CHO530269,2022-09-03,2.86,17160.0,M,G-Location 4,Yerevan,INV-15
KCN351903,2022-09-03,5.22,10440.0,M,G-Location 4,Yerevan,INV-16
GLF981448,2022-09-03,2.73,17745.0,M,G-Location 4,Yerevan,INV-17
DKJ815708,2022-09-03,0.75,1500.0,F,G-Location 4,Yerevan,INV-18
EBD960730,2022-09-03,0.83,1660.0,F,G-Location 2,Yerevan,INV-19
XII945761,2022-09-03,2.65,5300.0,F,G-Location 5,Yerevan,INV-20
NBE227365,2022-09-03,0.95,2375.0,M,G-Location 4,Yerevan,INV-21
GZB122662,2022-09-03,3.35,20100.0,M,G-Location 3,Yerevan,INV-22
AQO460262,2022-09-03,4.58,36640.0,F,G-Location 1,Yerevan,INV-23
LDH282885,2022-09-03,5.3,29150.0,M,G-Location 2,Yerevan,INV-24
CPF624854,2022-09-03,1.37,10960.0,F,G-Location 5,Yerevan,INV-25
HZF565848,2022-09-03,3.35,18425.0,F,G-Location 5,Yerevan,INV-26
BSR434672,2022-09-03,2.44,15860.0,M,G-Location 1,Yerevan,INV-27
GQB969648,2022-09-03,7.14,46410.0,F,G-Location 1,Yerevan,INV-28
YYO714952,2022-09-03,6.66,16650.0,F,G-Location 3,Yerevan,INV-29
SHR840225,2022-09-03,1.5,3750.0,F,G-Location 1,Yerevan,INV-30
WDO200846,2022-09-03,6.22,12440.0,F,G-Location 5,Yerevan,INV-31
ZSC455936,2022-09-03,1.93,10615.0,M,G-Location 5,Yerevan,INV-32
XEV800082,2022-09-03,5.55,11100.0,F,G-Location 3,Yerevan,INV-33
LPX242321,2022-09-03,1.08,6480.0,F,G-Location 4,Yerevan,INV-34
XJS172074,2022-09-03,2.62,15720.0,F,G-Location 1,Yerevan,INV-35
DNS681659,2022-09-03,1.71,10260.0,F,G-Location 2,Yerevan,INV-36
XQL834885,2022-09-03,7.65,38250.0,M,G-Location 1,Yerevan,INV-37
PVI242524,2022-09-03,4.38,21900.0,M,G-Location 5,Yerevan,INV-38
ZGV934805,2022-09-03,5.14,30839.999999999996,F,G-Location 1,Yerevan,INV-39
TKY597084,2022-09-03,1.98,11880.0,F,G-Location 2,Yerevan,INV-40
QGF894875,2022-09-03,3.76,22560.0,F,G-Location 4,Yerevan,INV-41
HZF565848,2022-09-03,2.31,18480.0,F,G-Location 4,Yerevan,INV-42
TFS265734,2022-09-03,2.7,17550.0,F,G-Location 5,Yerevan,INV-43
ANN917682,2022-09-03,6.99,45435.0,F,G-Location 2,Yerevan,INV-44
RHV777431,2022-09-03,3.92,25480.0,M,G-Location 1,Yerevan,INV-45
ZPG592950,2022-09-03,2.65,14575.0,M,G-Location 1,Yerevan,INV-46
OGX985772,2022-09-03,1.82,10920.0,F,G-Location 1,Yerevan,INV-47
PBB996663,2022-09-03,0.57,2849.9999999999995,M,G-Location 3,Yerevan,INV-48
SET891219,2022-09-03,6.43,32150.0,F,G-Location 1,Yerevan,INV-49
LLL116049,2022-09-03,4.31,25859.999999999996,M,G-Location 3,Yerevan,INV-50
XJS172074,2022-09-03,4.87,26785.0,F,G-Location 4,Yerevan,INV-51
KSA275596,2022-09-03,5.58,11160.0,F,G-Location 5,Yerevan,INV-52
DRF634534,2022-09-03,2.72,5440.0,F,G-Location 2,Yerevan,INV-53
IQY729233,2022-09-03,6.1,36600.0,M,G-Location 2,Yerevan,INV-54
IWS664718,2022-09-03,2.07,13454.999999999998,F,G-Location 3,Yerevan,INV-55
WMU306393,2022-09-03,4.08,20400.0,F,G-Location 5,Yerevan,INV-56
JDJ809663,2022-09-03,0.58,3769.9999999999995,M,G-Location 2,Yerevan,INV-57
HOE253316,2022-09-03,5.42,10840.0,F,G-Location 4,Yerevan,INV-58
XIO436440,2022-09-03,3.59,28720.0,M,G-Location 4,Yerevan,INV-59
FHT766718,2022-09-03,1.19,6545.0,F,G-Location 3,Yerevan,INV-60
DLY336709,2022-09-03,4.56,22799.999999999996,F,G-Location 3,Yerevan,INV-61
ZOT780704,2022-09-03,5.62,44960.0,M,G-Location 4,Yerevan,INV-62
RIJ888946,2022-09-03,5.06,12649.999999999998,F,G-Location 3,Yerevan,INV-63
OVN461937,2022-09-03,2.0,16000.0,M,G-Location 5,Yerevan,INV-64
PQL255211,2022-09-03,5.64,14100.0,M,G-Location 4,Yerevan,INV-65
VZH853708,2022-09-03,7.55,49075.0,F,G-Location 1,Yerevan,INV-66
GZR758077,2022-09-03,7.46,44760.0,F,G-Location 1,Yerevan,INV-67
FGU113123,2022-09-03,6.09,39585.0,F,G-Location 5,Yerevan,INV-68
TOZ944692,2022-09-03,4.6,11500.0,F,G-Location 3,Yerevan,INV-69
UZJ761714,2022-09-03,1.85,4625.0,M,G-Location 3,Yerevan,INV-70
WYP812426,2022-09-03,3.48,20880.0,M,G-Location 5,Yerevan,INV-71
DHU148547,2022-09-03,2.88,7200.0,F,G-Location 4,Yerevan,INV-72
MHV671658,2022-09-03,0.65,5200.0,M,G-Location 2,Yerevan,INV-73
FTZ517348,2022-09-03,6.34,41210.0,M,G-Location 2,Yerevan,INV-74
NUT441170,2022-09-03,2.03,5074.999999999999,M,G-Location 4,Yerevan,INV-75
UFE842214,2022-09-03,7.96,51740.0,F,G-Location 5,Yerevan,INV-76
IHG812065,2022-09-03,5.08,40640.0,M,G-Location 3,Yerevan,INV-77
YHK376261,2022-09-03,1.37,3425.0000000000005,F,G-Location 3,Yerevan,INV-78
CKJ949457,2022-09-03,5.92,32560.0,M,G-Location 1,Yerevan,INV-79
HEP996865,2022-09-03,2.75,13750.0,F,G-Location 5,Yerevan,INV-80
AUK173688,2022-09-03,3.44,27520.0,F,G-Location 4,Yerevan,INV-81
NIB841072,2022-09-03,6.22,49760.0,M,G-Location 3,Yerevan,INV-82
JIO312658,2022-09-03,7.52,37600.0,F,G-Location 1,Yerevan,INV-83
KCE898823,2022-09-03,1.73,13840.0,M,G-Location 2,Yerevan,INV-84
SGA316919,2022-09-03,7.99,47940.0,F,G-Location 5,Yerevan,INV-85
LID229655,2022-09-03,2.73,6825.0,F,G-Location 4,Yerevan,INV-86
JDJ809663,2022-09-03,1.96,11760.0,M,G-Location 5,Yerevan,INV-87
UOQ623696,2022-09-03,5.12,40960.0,M,G-Location 5,Yerevan,INV-88
TPM445749,2022-09-03,5.13,33345.0,F,G-Location 3,Yerevan,INV-89
KSG963786,2022-09-03,6.21,37260.0,M,G-Location 5,Yerevan,INV-90
QPJ627993,2022-09-03,5.98,11960.0,M,G-Location 3,Yerevan,INV-91
NME398993,2022-09-03,0.53,3445.0,M,G-Location 2,Yerevan,INV-92
TDR620645,2022-09-03,2.52,5040.0,M,G-Location 4,Yerevan,INV-93
TXB373754,2022-09-03,4.94,29640.000000000004,M,G-Location 4,Yerevan,INV-94
QNC405551,2022-09-03,0.27,2160.0,F,G-Location 4,Yerevan,INV-95
MCY811715,2022-09-03,7.19,14380.0,F,G-Location 3,Yerevan,INV-96
ZJK633784,2022-09-03,3.21,16050.0,F,G-Location 5,Yerevan,INV-97
TFG320229,2022-09-03,5.43,13575.0,F,G-Location 4,Yerevan,INV-98
UKL610477,2022-09-03,4.54,27240.0,M,G-Location 3,Yerevan,INV-99
WSS471105,2022-09-03,0.86,4730.0,M,G-Location 4,Yerevan,INV-100
ZMK587223,2022-09-04,0.41,1025.0,M,G-Location 4,Yerevan,INV-1
FDL133876,2022-09-04,4.36,26160.000000000004,F,G-Location 3,Yerevan,INV-2
GTZ580316,2022-09-04,5.66,31130.0,F,G-Location 2,Yerevan,INV-3
KLK855321,2022-09-04,1.29,7095.0,F,G-Location 4,Yerevan,INV-4
DEH148616,2022-09-04,7.3,43800.0,F,G-Location 5,Yerevan,INV-5
FJX974451,2022-09-04,7.28,14560.0,M,G-Location 5,Yerevan,INV-6
TDE159809,2022-09-04,7.12,17800.0,F,G-Location 5,Yerevan,INV-7
OVN461937,2022-09-04,7.59,60720.0,M,G-Location 1,Yerevan,INV-8
DDY123602,2022-09-04,4.03,24180.0,M,G-Location 3,Yerevan,INV-9
ANN917682,2022-09-04,3.16,7900.0,M,G-Location 5,Yerevan,INV-10
BLN715959,2022-09-04,2.98,7450.0,M,G-Location 3,Yerevan,INV-11
LTV508044,2022-09-04,3.49,17450.0,M,G-Location 3,Yerevan,INV-12
LJN443871,2022-09-04,3.55,21300.0,M,G-Location 4,Yerevan,INV-13
RDP594310,2022-09-04,3.83,7660.0,F,G-Location 1,Yerevan,INV-14
ZJF744789,2022-09-04,2.72,5440.0,M,G-Location 5,Yerevan,INV-15
EHE804589,2022-09-04,7.4,48100.0,F,G-Location 3,Yerevan,INV-16
EHE804589,2022-09-04,4.24,27560.0,M,G-Location 3,Yerevan,INV-17
OUI196473,2022-09-04,2.97,19305.0,M,G-Location 2,Yerevan,INV-18
PKE560821,2022-09-04,7.87,43285.0,F,G-Location 5,Yerevan,INV-19
WCS539988,2022-09-04,3.42,17100.0,F,G-Location 3,Yerevan,INV-20
ORR843404,2022-09-04,3.11,17105.0,M,G-Location 1,Yerevan,INV-21
GTQ589388,2022-09-04,0.18,1440.0,M,G-Location 2,Yerevan,INV-22
HZJ384560,2022-09-04,5.8,11600.0,M,G-Location 3,Yerevan,INV-23
EWY776547,2022-09-04,3.3,18150.0,F,G-Location 1,Yerevan,INV-24
KGE585650,2022-09-04,4.46,35680.0,M,G-Location 5,Yerevan,INV-25
LCZ741719,2022-09-04,7.33,47645.0,M,G-Location 1,Yerevan,INV-26
KLQ896383,2022-09-04,7.11,35550.0,M,G-Location 4,Yerevan,INV-27
RAI994683,2022-09-04,4.51,27060.0,F,G-Location 2,Yerevan,INV-28
